,T,S,o,h,l,c,v,t,n,vw
0,b,GOOG,161.45,161.48,161.39,161.47,888,2024-08-07T19:25:00Z,9,161.45
1,b,NEE,77.7,77.7,77.7,77.7,345,2024-08-07T19:25:00Z,3,77.699971
2,b,BRK.B,427.23,427.23,427.23,427.23,135,2024-08-07T19:25:00Z,9,427.24637
3,b,V,257.39,257.42,257.39,257.415,319,2024-08-07T19:25:00Z,6,257.40942
4,b,GE,162.34,162.34,162.28,162.28,1000,2024-08-07T19:25:00Z,9,162.331
5,b,MCD,270.66,270.66,270.535,270.65,505,2024-08-07T19:25:00Z,8,270.614426
6,b,RTX,114.41,114.44,114.4,114.42,3888,2024-08-07T19:25:00Z,29,114.414385
7,b,COP,107.17,107.195,107.17,107.195,477,2024-08-07T19:25:00Z,9,107.186792
8,b,AVGO,138.53,138.675,138.52,138.59,4317,2024-08-07T19:25:00Z,34,138.565654
9,b,DUK,113.195,113.225,113.195,113.225,667,2024-08-07T19:25:00Z,7,113.212879
10,b,GOOGL,159.69,159.69,159.69,159.69,264,2024-08-07T19:25:00Z,2,159.682841
11,b,APD,278.895,278.895,278.895,278.895,125,2024-08-07T19:25:00Z,3,278.90972
12,b,JPM,201.39,201.39,201.39,201.39,103,2024-08-07T19:25:00Z,2,201.388981
13,b,CAT,327.37,327.37,327.35,327.35,340,2024-08-07T19:25:00Z,10,327.390412
14,b,PLD,121.145,121.145,121.145,121.145,134,2024-08-07T19:25:00Z,3,121.156343
15,b,NVDA,100.49,100.49,100.3,100.3,3147,2024-08-07T19:25:00Z,25,100.394301
16,b,TSLA,193.7,193.7,193.44,193.44,900,2024-08-07T19:25:00Z,9,193.550556
17,b,AMT,226.95,226.95,226.95,226.95,445,2024-08-07T19:25:00Z,8,226.955921
18,b,MSFT,400.22,400.22,400.17,400.17,220,2024-08-07T19:25:00Z,6,400.193091
19,b,EOG,123.59,123.59,123.59,123.59,507,2024-08-07T19:25:00Z,21,123.587485
20,b,NFLX,614.96,615.18,614.96,615.18,752,2024-08-07T19:25:00Z,18,615.088165
21,b,CVX,143.02,143.02,142.98,142.98,452,2024-08-07T19:25:00Z,9,143.00635
22,b,WMT,66.925,66.925,66.91,66.915,1939,2024-08-07T19:25:00Z,26,66.921065
23,b,UNP,237.755,237.85,237.755,237.82,580,2024-08-07T19:25:00Z,12,237.803224
24,b,META,493.37,493.6,493.37,493.59,324,2024-08-07T19:25:00Z,7,493.51696
25,b,HD,344.46,344.555,344.46,344.555,521,2024-08-07T19:25:00Z,14,344.495278
26,b,SO,86.98,86.98,86.98,86.98,101,2024-08-07T19:25:00Z,2,86.980198
27,b,WELL,116.01,116.01,115.985,115.985,203,2024-08-07T19:25:00Z,3,115.997315
28,b,JNJ,159.165,159.165,159.165,159.165,102,2024-08-07T19:25:00Z,2,159.165392
